Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
1075,Crable,31,99.4,7.7,3.7,130,0.7,NA
1076,Crable,34,95.8,7.9,6.7,137,1.9,NA
1077,Crable,31,86.7,6,NA,134,NA,1.1
1078,Crable,NA,51.5,6.3,9,135,NA,1.5
1079,Crable,31,66,6.2,7.4,132,NA,1.7
1144,Lawrenz Gun Club,NA,NA,7.2,NA,NA,1.7,NA
1145,Lawrenz Gun Club,NA,58.4,5.6,7.3,NA,2.7,NA
1146,Lawrenz Gun Club,NA,NA,5.7,NA,NA,1.3,NA
1147,Lawrenz Gun Club,NA,48.5,7.4,8.3,NA,1.3,NA
1148,Lawrenz Gun Club,21,21.4,6.2,8.8,141,NA,NA
1149,Lawrenz Gun Club,NA,NA,6.2,NA,NA,NA,NA
1150,Lawrenz Gun Club,NA,76.4,6.8,9.9,NA,1.3,NA
1151,Lawrenz Gun Club,NA,NA,6.9,NA,NA,1.7,NA
1152,Lawrenz Gun Club,25,39.6,8.3,6.6,149,1,NA
1167,Morton Village,30,NA,4.21,NA,NA,NA,3.96
1168,Morton Village,14,46.4,5.14,3.6,110,0.81,NA
1169,Morton Village,17,NA,6.75,NA,NA,NA,1.91
1170,Morton Village,18,57.75,4.56,NA,135,0.96,NA
1171,Morton Village,20,NA,2.92,NA,NA,NA,NA
1172,Morton Village,20,74.51,5.15,NA,155,0.73,NA
1173,Morton Village,21,75.45,7.05,NA,120,0.94,NA
1174,Morton Village,23,62.45,4.04,NA,130,NA,NA
1175,Morton Village,24,34.83,5.02,4.15,130,NA,2.47
1176,Morton Village,25,73.41,4.45,3.49,140,1.27,NA
1177,Morton Village,25,70.83,4.75,NA,135,NA,2.38
1178,Morton Village,26,41.73,4.22,NA,NA,NA,NA
1179,Morton Village,26,NA,6.49,NA,NA,0.68,NA
1180,Morton Village,28,NA,7.23,NA,130,NA,NA
1181,Morton Village,30,50.88,6.58,NA,165,0.5,NA
1182,Morton Village,30,86,8.22,3.74,115,0.36,NA
1183,Morton Village,30,NA,8.02,NA,140,NA,1.69
1184,Morton Village,30,71.58,4.69,5.47,130,NA,3.55
1185,Morton Village,31,NA,5.03,5.29,165,NA,3.03
1187,Morton Village,35,NA,5.65,NA,130,1.15,NA
1188,Morton Village,36,55,7.45,NA,NA,1.04,NA
1189,Morton Village,36,70.8,5.47,NA,125,0.77,NA
1190,Morton Village,36,60,5.66,NA,135,NA,2.51
1191,Morton Village,37,62.9,6.18,NA,140,NA,1.97
1192,Morton Village,40,48.53,6.76,4.05,NA,NA,1.79
1193,Morton Village,44,71.41,6.77,NA,150,1.02,NA
1194,Morton Village,9,NA,4.22,NA,170,NA,1.19
1242,Orendorf D,46,48.3,6,NA,143,NA,NA
1243,Orendorf D,34,36.5,8.3,NA,150,NA,NA
1244,Orendorf D,30,46,6.2,NA,142,NA,NA
1245,Orendorf D,34,53.9,4.6,NA,157,NA,NA
